M/Z,Intensity
-7.8602611e-005,-0.41003922
2.1773576e-007,-0.44141176
9.6021472e-005,-0.26101961
0.00036601382,-0.64533333
0.00081019477,-0.5747451
0.0014285643,0.60172549
0.0022211225,-2.2453333
0.0031878693,-2.6767059
0.0043288047,-3.3512157
0.0056439287,-3.7041569
0.0071332413,-3.8218039
0.0087967426,-3.6649412
0.010634432,-3.7904314
0.012646311,-3.7476899
0.014832378,-3.6889569
0.017192634,-1.3397226
0.019727078,4.6019738
0.022435711,9.9243677
0.025318532,7.0274589
0.028375542,3.7465418
0.031606741,8.3874984
0.035012128,3.860133
0.038591704,-3.6473194
0.042345469,-3.3976038
0.046273422,3.6210445
0.050375564,1.3929393
0.054651894,-0.097605796
0.059102413,0.25529165
0.063727121,-0.26993702
0.068526017,-2.826233
0.073499102,-2.0802629
0.078646375,5.4738556
0.083967837,10.008671
0.089463488,5.3594789
0.095133327,-1.783526
0.10097736,-3.6164218
0.10699557,-3.5745025
0.11318798,-3.5636505
0.11955457,-2.8622971
0.12609535,-0.87436403
0.13281032,0.30603121
0.13969948,-1.2269938
0.14676283,0.032443351
0.15400037,1.9196367
0.16141209,3.4228216
0.16899801,2.5341549
0.17675811,1.9752053
0.1846924,1.8008746
0.19280088,1.5170452
0.20108355,-0.24098865
0.20954041,-2.0065604
0.21817145,-1.6541799
0.22697669,0.65144714
0.23595611,1.4907127
0.24510972,0.83224435
0.25443752,0.97408124
0.26393951,1.892694
0.27361569,0.46651394
0.28346605,-1.8142628
0.29349061,-2.1261068
0.30368935,-1.7003907
0.31406228,-2.6077026
0.3246094,-2.808827
0.33533071,-1.1743519
0.34622621,-0.080748069
0.3572959,0.92688652
0.36853977,1.856395
0.37995783,1.429346
0.39155009,1.1280925
0.40331653,0.99969318
0.41525716,1.3657168
0.42737197,1.5987124
0.43966098,1.6829936
0.45212418,2.0185605
0.46476156,1.3191385
0.47757313,0.33766883
0.49055889,0.0074848117
0.50371884,-0.69102139
0.51705298,-0.87157528
0.53056131,-0.87927488
0.54424382,-0.60431629
0.55810053,-0.11728773
0.57213142,-0.32014998
0.5863365,0.08905773
0.60071577,0.44366874
0.61526923,0.86917325
0.62999688,1.2322379
0.64489871,0.99168627
0.65997473,1.5062817
0.67522495,1.2992733
0.69064935,0.81771986
0.70624794,-0.040339467
0.72202072,-0.24745366
0.73796769,-0.66636781
0.75408884,-1.0617878
0.77038419,-0.98665483
0.78685372,-0.68410613
0.80349744,-1.0247299
0.82031535,-0.82421254
0.83730745,-0.77275
0.85447374,-0.68210704
0.87181421,-0.48169542
0.88932888,0.12652409
0.90701773,0.62490441
0.92488077,0.4957985
0.942918,0.96273576
0.96112942,1.1315985
0.97951503,1.2533673
0.99807483,1.4064732
