M/Z,Intensity
-7.8602611e-005,-0.60643137
2.1773576e-007,-0.44172549
9.6021472e-005,-0.29270588
0.00036601382,-0.74760784
0.00081019477,1.8798431
0.0014285643,-0.010352941
0.0022211225,-2.4417255
0.0031878693,-0.81819608
0.0043288047,-3.5868235
0.0056439287,-3.8299608
0.0071332413,-3.2887843
0.0087967426,-3.3436863
0.010634432,-3.5711373
0.012646311,-3.6855651
0.014832378,-3.4075573
0.017192634,-0.35280018
0.019727078,3.8316474
0.022435711,9.3732365
0.025318532,5.7229474
0.028375542,3.6101919
0.031606741,7.1055583
0.035012128,2.2168897
0.038591704,-3.573461
0.042345469,-3.0890231
0.046273422,3.6780464
0.050375564,1.5983359
0.054651894,-0.3163901
0.059102413,0.82014305
0.063727121,1.4863667
0.068526017,-2.0432094
0.073499102,0.019650136
0.078646375,6.8984747
0.083967837,7.9422838
0.089463488,2.1314697
0.095133327,-2.549654
0.10097736,-3.5599106
0.10699557,-3.3542023
0.11318798,-3.5639015
0.11955457,-1.7184201
0.12609535,-0.31187558
0.13281032,-0.097209216
0.13969948,-0.14108766
0.14676283,0.3172734
0.15400037,1.1759132
0.16141209,2.2465964
0.16899801,0.94893089
0.17675811,0.47507351
0.1846924,1.5073772
0.19280088,2.0066263
0.20108355,0.20811489
0.20954041,-1.7234511
0.21817145,-0.87042468
0.22697669,0.73582165
0.23595611,2.1148957
0.24510972,1.2275819
0.25443752,0.45819378
0.26393951,0.99104521
0.27361569,-0.33464817
0.28346605,-1.9737883
0.29349061,-1.8087282
0.30368935,-1.1806442
0.31406228,-2.3640462
0.3246094,-2.3942283
0.33533071,-0.63589643
0.34622621,-0.28120737
0.3572959,0.66983884
0.36853977,1.1819481
0.37995783,0.82374782
0.39155009,1.022689
0.40331653,1.0336737
0.41525716,1.7194468
0.42737197,1.9035379
0.43966098,1.9702607
0.45212418,2.0921641
0.46476156,1.6417973
0.47757313,0.85445428
0.49055889,0.083076255
0.50371884,-0.64880736
0.51705298,-1.5137456
0.53056131,-1.2254639
0.54424382,-0.49768783
0.55810053,-0.24022126
0.57213142,0.22928875
0.5863365,0.31476375
0.60071577,0.4711057
0.61526923,0.77674599
0.62999688,0.69050815
0.64489871,0.76141176
0.65997473,0.51697967
0.67522495,0.24900319
0.69064935,0.16140392
0.70624794,-0.77326914
0.72202072,-0.55501598
0.73796769,-0.43873857
0.75408884,-0.51071141
0.77038419,-0.25328745
0.78685372,-0.19195688
0.80349744,0.14386853
0.82031535,-0.014438666
0.83730745,-0.27472161
0.85447374,0.092431473
0.87181421,-0.58356766
0.88932888,-0.38115039
0.90701773,-0.20227748
0.92488077,0.2589334
0.942918,-0.087713813
0.96112942,0.22444754
0.97951503,0.74835864
0.99807483,0.40166655
1.0168088,0.52554772
1.035717,1.2768649
1.0547993,1.5889515
1.0740559,1.3049446
1.0934866,1.2405307
1.1130916,1.3643371
1.1328707,1.1587167
1.152824,0.58445394
1.1729515,0.77096053
1.1932532,1.3339228
1.213729,1.3478504
1.2343791,1.0323513
1.2552033,1.3756608
1.2762018,1.1307201
1.2973744,0.96419571
1.3187212,0.9231466
1.3402422,1.0938472
1.3619374,1.5782584
1.3838068,1.341086
1.4058504,0.89213387
1.4280681,0.97650015
1.4504601,0.95889069
1.4730262,0.90989371
1.4957665,0.87656805
1.518681,0.66283527
1.5417697,0.51183263
1.5650326,0.11767777
1.5884697,0.13135109
1.612081,0.12932318
1.6358664,0.23708422
1.6598261,0.21149698
1.6839599,0.3819732
1.7082679,0.39557172
1.7327501,0.57386115
1.7574065,0.46978269
1.7822371,0.32647358
1.8072419,0.39491421
1.8324209,0.33000656
1.857774,0.51606433
1.8833013,0.38053851
1.9090029,0.28421342
1.9348786,0.32904984
1.9609285,0.26406738
1.9871526,0.15985427
2.0135509,0.063469337
2.0401234,0.2102067
2.06687,0.12947812
2.0937909,0.01736203
2.1208859,0.28954471
2.1481551,0.20877124
2.1755985,0.33974753
2.2032161,0.30600297
2.2310079,0.303616
2.2589739,0.38748858
2.2871141,0.47918933
2.3154285,0.66499277
2.343917,0.75666361
2.3725797,0.60518222
2.4014167,0.5634898
2.4304278,0.57668438
2.4596131,0.30751106
2.4889726,0.31283258
2.5185062,0.27892346
2.5482141,0.15088172
2.5780962,0.27380542
2.6081524,0.24769455
2.6383828,0.20588244
2.6687875,0.4228789
2.6993663,0.035938838
2.7301193,0.19800342
2.7610465,0.038484411
2.7921478,0.10640142
2.8234234,-0.013931819
2.8548732,0.014739585
2.8864971,0.09829799
2.9182952,-0.069138958
2.9502676,-0.048355572
2.9824141,0.15280501
3.0147348,0.14218592
3.0472296,0.084493055
3.0798987,0.41894209
3.112742,0.32200361
3.1457594,0.3348541
3.1789511,0.53592491
3.2123169,0.33698077
3.2458569,0.23998245
3.2795711,0.64492996
3.3134595,0.64201936
3.3475221,0.66262322
3.3817589,0.70674153
3.4161698,1.0959429
3.450755,0.6537568
3.4855143,0.75273218
3.5204478,0.83600634
3.5555556,0.61338317
3.5908375,0.62603917
3.6262936,0.67005276
3.6619238,0.46307099
3.6977283,0.65607426
3.733707,0.63729786
3.7698598,0.61850651
3.8061868,0.59970019
3.8426881,0.69068283
3.8793635,0.63263091
3.9162131,0.71574049
3.9532369,0.5007959
3.9904348,0.7172089
4.027807,0.49439125
4.0653534,0.42057825
4.1030739,0.5820444
4.1409686,0.31212305
4.1790376,0.42650046
4.2172807,0.33694134
4.255698,0.43560255
4.2942895,0.44013116
4.3330551,0.22503696
4.371995,0.36286898
4.411109,0.022254667
4.4503973,0.15221363
4.4898597,0.086079195
4.5294963,-0.034972158
4.5693071,0.024353685
4.6092921,-0.065355041
4.6494513,0.048842841
4.6897847,-0.1036409
4.7302923,-0.08359059
4.770974,-0.047868962
4.8118299,-0.12980935
4.8528601,-0.015686275
4.8940644,-0.048668486
4.9354429,-0.1444026
4.9769956,0.034366285
5.0187225,0.064108757
5.0606235,-0.031645771
5.1026988,-0.001916908
5.1449482,-0.027096811
5.1873719,0.033990992
5.2299697,-0.014731932
5.2727417,0.038499124
5.3156879,-0.0023942724
5.3588083,0.027293762
5.4021029,-0.092044616
5.4455717,-0.023154505
5.4892146,0.014356253
5.5330318,0.098919029
5.5770231,0.15994559
5.6211886,-0.014328774
5.6655283,0.14080182
5.7100422,0.20180797
5.7547303,0.15300339
5.7995926,0.2296822
5.8446291,0.18086401
5.8898397,0.26537235
5.9352245,0.051834665
5.9807836,0.29319214
6.0265168,0.18944477
6.0724242,0.14059255
6.1185058,0.26428256
6.1647616,0.058553987
6.2111916,0.22144606
6.2577957,0.18825291
6.3045741,0.28054314
6.3515266,0.30223833
6.3986533,0.13569143
6.4459543,0.29854948
6.4934294,-0.040560055
6.5410787,0.27914713
6.5889021,-0.0050740496
6.6368998,0.19697247
6.6850717,0.13234552
6.7334177,0.22457451
6.781938,0.21483591
6.8306324,0.056070901
6.879501,0.37573046
6.9285438,0.17773615
6.9777608,-0.012421824
7.027152,0.5974134
7.0767174,0.15626142
7.1264569,0.013141854
7.1763707,0.62295666
7.2264586,0.15041172
7.2767207,0.15629135
7.327157,0.036673977
7.3777675,0.66999098
7.4285522,-0.053561575
7.4795111,0.32876142
7.5306442,0.33460703
7.5819514,0.23848504
7.6334329,0.048238606
7.6850885,0.10112262
7.7369183,0.32654885
7.7889223,0.050007488
7.8411005,-0.10889362
7.8934529,0.65768867
7.9459795,-0.34044174
7.9986802,0.27710733
8.0515552,0.1809241
8.1046043,-0.040756124
8.1578277,0.20814508
8.2112252,-0.24884288
8.2647969,0.30592707
8.3185428,-0.11185881
8.3724629,-0.05122012
8.4265572,0.18980392
8.4808256,-0.22568902
8.5352683,0.080387296
8.5898851,-0.13118283
8.6446761,-0.044713123
8.6996413,0.065286619
8.7547808,-0.21686988
8.8100943,0.049993845
8.8655821,-0.059612395
8.9212441,-0.2084337
8.9770803,0.019216203
9.0330906,-0.082545039
9.0892751,-0.035286051
9.1456339,-0.08214409
9.2021668,-0.058413274
9.2588739,-0.097426935
9.3157552,-0.089381151
9.3728107,-0.026432787
9.4300403,-0.19093478
9.4874442,-0.065240078
9.5450222,-0.049348675
9.6027745,-0.10404489
9.6607009,-0.0097208709
9.7188015,0.029701805
9.7770763,0.037752553
9.8355253,-0.064
9.8941485,0.12405817
9.9529458,-0.18200184
10.011917,0.10017292
10.071063,-0.0098097091
10.130383,-0.049204629
10.189877,0.09963522
10.249545,0.0053372868
10.309388,0.13848981
10.369405,0.05203396
10.429596,0.12244033
10.489961,0.20068931
10.5505,0.1377613
10.611213,0.14542099
10.672101,0.11386447
10.733163,0.13720939
10.794399,0.23114201
10.855809,0.12115254
10.917393,0.24645666
10.979152,0.10509359
11.041085,0.24608293
11.103192,0.12824822
11.165473,0.22217769
11.227928,0.088655646
11.290558,0.057093863
11.353361,0.19023744
11.416339,0.056713819
11.479491,0.040836732
11.542818,0.28378265
11.606318,-0.13209549
11.669993,0.14222192
11.733841,0.024381947
11.797864,0.055561052
11.862062,-0.19561331
11.926433,0.45517259
11.990979,-0.094042044
12.055698,0.30576241
12.120592,-0.17286504
12.185661,0.54066385
12.250903,-0.32227838
12.316319,-0.14992701
12.38191,0.63418853
12.447675,-0.30718664
12.513614,-0.19758195
12.579727,0.51594378
12.646015,0.0059395697
12.712477,-0.22171222
12.779112,0.38200801
12.845923,0.13082575
12.912907,-0.30074919
12.980065,0.051989071
13.047398,0.20864837
13.114905,-0.26998697
13.182586,0.098435986
13.250441,0.1688192
13.31847,-0.18432753
13.386674,-0.17669046
13.455051,0.27016176
13.523603,-0.059457133
13.592329,-0.20084126
13.66123,0.34012703
13.730304,-0.14635618
13.799553,-0.13087914
13.868976,0.0022444336
13.938573,-0.13914232
14.008344,0.10378412
14.07829,-0.20230957
14.148409,0.14257661
14.218703,-0.069400491
14.289171,-0.25000556
14.359813,0.25174178
14.43063,-0.28180553
14.50162,0.11797998
14.572785,-0.11752916
14.644124,-0.062842749
14.715637,0.21145098
14.787324,-0.061678231
14.859186,0.025961168
14.931221,0.082212315
15.003431,-0.1046895
15.075815,0.069177304
15.148374,0.023420558
15.221106,-0.030195028
15.294013,-0.052453769
15.367094,-0.082571349
15.440349,0.044158113
15.513778,-0.15069676
15.587381,0.038746398
15.661159,0.047781692
15.735111,-0.029473227
15.809237,0.04227576
15.883537,-0.035010565
15.958011,-0.010351808
16.03266,-0.017081303
16.107482,-0.00029708926
16.182479,0.12627534
16.25765,-0.10795224
16.332996,0.026431923
16.408515,-0.1293957
16.484209,-0.057788035
16.560077,0.15498039
16.636119,-0.10087432
16.712335,-0.035261395
16.788725,-0.13445535
16.86529,-0.15531893
16.942029,-0.26255802
17.018942,-0.26793732
17.096029,-0.20282938
17.17329,-0.32605773
17.250726,-0.22977924
17.328335,-0.38458213
17.406119,-0.46105465
17.484077,-0.38860855
17.56221,-0.24567522
17.640516,-0.1499017
17.718997,-0.25030762
17.797652,-0.013559628
17.876481,0.081910896
17.955484,-0.13644507
18.034662,0.29607837
18.114013,-0.21267567
18.193539,0.29023401
18.273239,0.87147406
18.353113,0.095750369
18.433162,1.0140433
18.513384,1.3753725
18.593781,0.96556984
18.674352,0.80664132
18.755097,0.59270463
18.836016,0.73160291
18.91711,-1.0198011
18.998377,-0.11248776
19.079819,-0.20135906
19.161435,-0.75308167
19.243226,-0.96765558
19.32519,-0.73527687
19.407329,-1.2873181
19.489642,-1.2904459
19.572129,-1.2858368
19.65479,-0.90486329
19.737625,-2.0769372
19.820635,-1.2804898
19.903819,-1.5508153
19.987177,-2.0251686
20.070709,-1.3310006
20.154415,-0.98988001
20.238296,1.6334873
20.32235,3.6920426
20.406579,-1.1357829
20.490982,1.9186384
20.57556,60.792561
20.660311,75.917358
20.745237,46.642049
20.830337,-5.088268
20.915611,7.9107203
21.001059,9.9997984
21.086681,6.9985743
21.172478,6.8756753
21.258449,8.2350231
21.344594,7.8530882
21.430913,6.2004589
21.517406,6.0928214
21.604074,5.7184111
21.690915,5.6184043
21.777931,5.1731933
21.865121,4.2259153
21.952486,2.533433
