M/Z,Intensity
-7.8602611e-005,-0.66164706
2.1773576e-007,-0.45772549
9.6021472e-005,-0.39498039
0.00036601382,-0.51262745
0.00081019477,-0.31654902
0.0014285643,0.60894118
0.0022211225,-2.3322353
0.0031878693,-2.7322353
0.0043288047,-3.3518431
0.0056439287,-3.798902
0.0071332413,-3.798902
0.0087967426,-3.798902
0.010634432,-3.798902
0.012646311,-3.7953294
0.014832378,-3.7679182
0.017192634,-1.6382368
0.019727078,4.1623421
0.022435711,10.11225
0.025318532,5.5840356
0.028375542,3.5110326
0.031606741,9.383437
0.035012128,2.9267389
0.038591704,-3.7492577
0.042345469,-1.9935725
0.046273422,4.9781083
0.050375564,1.7853926
0.054651894,1.4949469
0.059102413,-0.45793453
0.063727121,-2.1359969
0.068526017,-2.9117891
0.073499102,-2.7774681
0.078646375,5.9061818
0.083967837,11.123474
0.089463488,5.2195076
0.095133327,-1.3821891
0.10097736,-3.6384784
0.10699557,-3.6277917
0.11318798,-3.6089526
0.11955457,-2.9309807
0.12609535,-1.7899544
0.13281032,-1.4486187
0.13969948,-3.067758
0.14676283,-1.0944312
0.15400037,1.9223422
0.16141209,3.5511896
0.16899801,3.4783855
0.17675811,3.7431457
0.1846924,3.3572347
0.19280088,3.4657508
0.20108355,0.13928197
0.20954041,-2.9986422
0.21817145,-2.7950806
0.22697669,-0.70101363
0.23595611,0.33453914
0.24510972,0.076283565
0.25443752,1.3006902
0.26393951,2.5724651
0.27361569,1.4523923
0.28346605,-0.45952797
0.29349061,-0.47309974
0.30368935,-0.89420534
0.31406228,-2.9699036
0.3246094,-3.2099984
0.33533071,-2.2027251
0.34622621,-1.0225934
0.3572959,0.62059262
0.36853977,1.864088
0.37995783,2.1431868
0.39155009,2.1010262
0.40331653,2.4827044
0.41525716,2.6921429
0.42737197,2.5332633
0.43966098,2.2727321
0.45212418,1.5027064
0.46476156,0.99181349
0.47757313,-0.31092697
0.49055889,-0.89963262
0.50371884,-1.3233231
0.51705298,-1.448665
0.53056131,-0.8678153
0.54424382,-0.074891563
0.55810053,0.70265521
0.57213142,0.40600149
0.5863365,0.32926493
0.60071577,0.50381807
0.61526923,0.38848443
0.62999688,0.83032286
0.64489871,1.0058039
0.65997473,0.978233
0.67522495,1.1310075
0.69064935,0.79746088
0.70624794,0.39327929
0.72202072,0.21650198
0.73796769,0.13379562
0.75408884,-0.30974175
0.77038419,-0.56509052
0.78685372,-0.85185853
0.80349744,-1.0445556
0.82031535,-1.3000444
0.83730745,-1.1242074
0.85447374,-0.9170446
0.87181421,-0.70992844
0.88932888,-0.0087413364
0.90701773,0.52769319
0.92488077,0.96996338
0.942918,1.0592457
0.96112942,1.3759323
0.97951503,1.4572781
0.99807483,1.240538
1.0168088,1.2904178
1.035717,1.4892706
1.0547993,1.484155
1.0740559,1.4789928
1.0934866,1.6228036
1.1130916,1.5940185
1.1328707,1.4240104
1.152824,1.167681
1.1729515,0.98189316
1.1932532,0.74899981
1.213729,0.55527544
1.2343791,0.33013183
1.2552033,0.40298074
1.2762018,0.47578295
1.2973744,0.48579337
1.3187212,0.68399239
1.3402422,0.74881138
1.3619374,0.87632877
1.3838068,0.98811319
1.4058504,1.1782823
1.4280681,1.2507576
1.4504601,1.2996569
1.4730262,1.2622349
1.4957665,0.95025644
1.518681,0.81078029
1.5417697,0.65557118
1.5650326,0.46894282
1.5884697,0.2901109
1.612081,0.1347617
1.6358664,0.026424628
1.6598261,0.059217329
1.6839599,-0.12764451
1.7082679,0.05407441
1.7327501,0.00045251529
1.7574065,0.080117258
1.7822371,0.32444119
1.8072419,0.17656156
1.8324209,0.53059602
1.857774,0.34340731
1.8833013,0.46205426
1.9090029,0.38457609
1.9348786,0.36979631
1.9609285,0.31575416
1.9871526,0.089116285
2.0135509,0.12909839
2.0401234,0.23177889
2.06687,0.036373479
2.0937909,0.17033314
2.1208859,0.029736299
2.1481551,0.17928884
2.1755985,0.21114763
2.2032161,0.23511659
2.2310079,0.28256826
2.2589739,0.4476203
2.2871141,0.32242956
2.3154285,0.41679997
2.343917,0.39347662
2.3725797,0.26814579
2.4014167,0.19767023
2.4304278,0.34675582
2.4596131,0.17422608
2.4889726,0.33890455
2.5185062,0.33098731
2.5482141,0.31518023
2.5780962,0.22089509
2.6081524,0.33048481
2.6383828,0.032184707
2.6687875,0.047563396
2.6993663,-0.10181049
2.7301193,-0.33750559
2.7610465,-0.14187483
2.7921478,-0.39334959
2.8234234,-0.19781222
2.8548732,-0.27683136
2.8864971,-0.21472071
2.9182952,-0.20755873
2.9502676,-0.31809049
2.9824141,-0.044355233
3.0147348,-0.1785098
3.0472296,-0.23140961
3.0798987,0.21766209
3.112742,-0.039137819
3.1457594,0.25309261
3.1789511,0.019843572
3.2123169,0.13954644
3.2458569,0.36122083
3.2795711,0.20643537
3.3134595,0.55362142
3.3475221,0.50866134
3.3817589,0.57351591
3.4161698,0.5913224
3.450755,0.57776706
3.4855143,0.68971266
3.5204478,0.64480624
3.5555556,0.38814585
3.5908375,0.62561384
3.6262936,0.49446511
3.6619238,0.59862123
3.6977283,0.60867044
3.733707,0.50892646
3.7698598,0.55821282
3.8061868,0.55260795
3.8426881,0.28819028
3.8793635,0.40025393
3.9162131,0.43389694
3.9532369,0.49892324
3.9904348,0.39925438
4.027807,0.32312567
4.0653534,0.31759593
4.1030739,0.31207692
4.1409686,0.27519609
4.1790376,0.238326
4.2172807,0.18578036
4.255698,0.16461801
4.2942895,0.12778011
4.3330551,0.13016863
4.371995,0.10119534
4.411109,0.048703365
4.4503973,0.12955546
4.4898597,-0.087620934
4.5294963,0.17364478
4.5693071,-0.10625524
4.6092921,-0.0018308101
4.6494513,0.032016121
4.6897847,-0.1615772
4.7302923,0.036997083
4.770974,-0.12520222
4.8118299,-0.11484177
4.8528601,0.0053333333
4.8940644,-0.11380764
4.9354429,0.01802547
4.9769956,-0.17171637
5.0187225,0.01500607
5.0606235,-0.041415064
5.1026988,-0.066469964
5.1449482,0.088860977
5.1873719,0.0010483481
5.2299697,-0.04755491
5.2727417,0.076384536
5.3156879,-0.074192137
5.3588083,0.07326409
5.4021029,-0.038109528
5.4455717,-0.016156128
5.4892146,0.13128115
5.5330318,0.019888588
5.5770231,0.13594069
5.6211886,0.16571196
5.6655283,0.21900634
5.7100422,0.19386302
5.7547303,0.20792908
5.7995926,0.22983195
5.8446291,0.17329714
5.8898397,0.25793248
5.9352245,0.256287
5.9807836,0.17620383
6.0265168,0.34709474
6.0724242,0.14150875
6.1185058,0.2653282
6.1647616,0.16169036
6.2111916,0.16000698
6.2577957,0.27596435
6.3045741,0.17230756
6.3515266,0.44511505
6.3986533,0.1453672
6.4459543,0.19071107
6.4934294,0.22036235
6.5410787,0.12451712
6.5889021,0.2012146
6.6368998,0.019082228
6.6850717,0.31537492
6.7334177,0.094014229
6.781938,0.20205899
6.8306324,0.24735234
6.879501,0.057345258
6.9285438,0.33792009
6.9777608,0.28123371
7.027152,0.22454102
7.0767174,0.26980279
7.1264569,0.29152883
7.1763707,0.21913092
7.2264586,0.20162864
7.2767207,0.3409828
7.327157,0.15876202
7.3777675,0.31378982
7.4285522,0.23351719
7.4795111,0.21598334
7.5306442,0.35530592
7.5819514,0.12599473
7.6334329,0.06922625
7.6850885,0.21637302
7.7369183,0.21449387
7.7889223,0.18123585
7.8411005,0.10875584
7.8934529,0.16960284
7.9459795,0.10495333
7.9986802,-0.014604462
8.0515552,0.093282415
8.1046043,0.02077082
8.1578277,-0.0046882665
8.2112252,0.10317966
8.2647969,0.014962849
8.3185428,0.020857365
8.3724629,-0.012470121
8.4265572,0.0090980392
8.4808256,-0.053957393
8.5352683,-0.093484409
8.5898851,-0.038894774
8.6446761,-0.015678685
8.6996413,-0.023836141
8.7547808,-0.0084651805
8.8100943,-0.032310903
8.8655821,-0.064000758
8.9212441,-0.09569161
8.9770803,-0.048952086
9.0330906,-0.13554689
9.0892751,-0.057436809
9.1456339,-0.042072821
9.2021668,-0.089454928
9.2588739,-0.097622345
9.3157552,-0.050888797
9.3728107,-0.16886213
9.4300403,0.0033596251
9.4874442,-0.067556874
9.5450222,-0.091415545
9.6027745,0.080803218
9.6607009,-0.092077053
9.7188015,0.040924032
9.7770763,0.0013751014
9.8355253,0.040256547
9.8941485,0.016391899
9.9529458,-0.07806198
10.011917,0.062777262
10.071063,-0.047364884
10.130383,0.20327629
10.189877,0.093132148
10.249545,0.18690858
10.309388,0.037546766
10.369405,0.17053689
10.429596,0.099604457
10.489961,0.044357299
10.5505,0.26361895
10.611213,0.0044482299
10.672101,0.16096279
10.733163,0.042966549
10.794399,0.25438108
10.855809,0.23050049
10.917393,0.14387381
10.979152,0.17489319
11.041085,0.17453903
11.103192,0.16634074
11.165473,0.15814144
11.227928,0.21268626
11.290558,0.09468105
11.353361,0.2198121
11.416339,0.086118631
11.479491,0.21124769
11.542818,0.17951301
11.606318,0.16346361
11.669993,0.26506027
11.733841,0.18626378
11.797864,0.14668198
11.862062,0.154158
11.926433,0.059672249
11.990979,0.043616871
12.055698,0.058933046
12.120592,0.16836587
12.185661,0.073876132
12.250903,-0.0049283282
12.316319,0.15940347
12.38191,0.010008782
12.447675,-0.037426118
12.513614,0.13474583
12.579727,0.055936388
12.646015,0.0084984999
12.712477,0.15713805
12.779112,-0.078537127
12.845923,-0.031860357
12.912907,0.061874241
12.980065,-0.095372549
13.047398,-0.017647105
13.114905,0.052233376
13.182586,-0.0033781659
13.250441,0.058655525
13.31847,-0.10676359
13.386674,-0.068262964
13.455051,-0.14741122
13.523603,-0.17165935
13.592329,0.031541684
13.66123,-0.12604343
13.730304,0.0065657176
13.799553,0.052898524
13.868976,-0.12822148
13.938573,0.12202925
14.008344,-0.20027088
14.07829,0.065662469
14.148409,-0.1076217
14.218703,-0.19463318
14.289171,0.11835351
14.359813,-0.13336751
14.43063,0.10902729
14.50162,-0.048579734
14.572785,0.013419258
14.644124,0.05973015
14.715637,-0.082196078
14.787324,0.049530444
14.859186,-0.0070012893
14.931221,-0.079242259
15.003431,0.12300361
15.075815,-0.14536171
15.148374,0.11958334
15.221106,-0.17235733
15.294013,0.021953562
15.367094,0.043692469
15.440349,-0.13067002
15.513778,-0.061918212
15.587381,-0.040248192
15.661159,0.067673377
15.735111,-0.036192722
15.809237,-0.077336685
15.883537,-0.0086996882
15.958011,-0.018517026
16.03266,-0.13816125
16.107482,0.08726961
16.182479,-0.12653818
16.25765,0.067474201
16.332996,-0.020889318
16.408515,-0.16417776
16.484209,0.084667699
16.560077,-0.082196078
16.636119,0.094920576
16.712335,0.068018328
16.788725,-0.30407929
16.86529,0.22568654
16.942029,-0.50739007
17.018942,0.022181094
17.096029,-0.45226665
17.17329,-0.28367447
17.250726,-0.17792472
17.328335,-0.55070368
17.406119,-0.17848194
17.484077,-0.1592987
17.56221,-0.32060496
17.640516,0.17681498
17.718997,0.13296112
17.797652,0.41842168
17.876481,0.92339276
17.955484,0.7772861
18.034662,0.54480761
18.114013,0.60242786
18.193539,1.075637
18.273239,0.83502341
18.353113,1.2766654
18.433162,1.6476218
18.513384,1.9792652
18.593781,2.3343406
18.674352,2.7442207
18.755097,2.9500819
18.836016,2.4891791
18.91711,1.8085711
18.998377,1.7866893
19.079819,0.62745525
19.161435,0.79361408
19.243226,0.26947949
19.32519,0.066816202
19.407329,-0.081042463
19.489642,-0.30742983
19.572129,-0.27509101
19.65479,-0.58794756
19.737625,-0.54796027
19.820635,-0.64140364
19.903819,-1.0329836
19.987177,-1.0481902
20.070709,-0.9693766
20.154415,-0.85928774
20.238296,-0.23949229
20.32235,1.7919705
20.406579,0.12137522
20.490982,-0.74931741
20.57556,15.493618
20.660311,82.536456
20.745237,36.575276
20.830337,1.8532132
20.915611,0.9585045
21.001059,6.6362475
21.086681,4.8629127
21.172478,2.3208532
21.258449,4.0845786
21.344594,3.4168342
21.430913,3.2744827
21.517406,3.4614456
21.604074,2.7934092
21.690915,3.6233146
21.777931,3.1982208
21.865121,2.4200885
21.952486,2.4967608
22.040024,2.0321593
22.127737,1.4811859
22.215624,0.74187992
22.303685,0.44169229
22.39192,0.20415242
22.480329,0.068476001
22.568913,0.11309441
22.657671,-0.36003158
22.746603,-0.33129412
22.835709,-0.66688619
22.924989,-1.7173044
23.014444,-2.3060782
23.104073,-3.0606585
23.193876,-3.5967317
23.283853,-4.4790035
23.374004,-5.1584544
23.46433,-5.6429276
23.554829,-6.3402661
23.645503,-7.0543916
23.736351,-7.7774609
23.827373,-8.7133955
23.91857,-8.8190583
24.009941,-9.6787628
24.101485,-10.233686
24.193204,-10.930886
24.285098,-11.872324
24.377165,-12.140352
24.469407,-13.013404
24.561822,-13.636575
24.654412,-14.190259
24.747176,-14.823474
24.840115,-15.598967
24.933227,-15.552031
25.026514,-16.784627
25.119975,-16.777308
25.21361,-16.21333
25.307419,-16.0025
25.401403,-14.882072
25.49556,-10.444202
