M/Z,Intensity
-7.8602611e-005,-0.5894902
2.1773576e-007,-0.54243137
9.6021472e-005,-0.36988235
0.00036601382,-0.57380392
0.00081019477,0.24972549
0.0014285643,0.42227451
0.0022211225,-2.3777255
0.0031878693,-2.291451
0.0043288047,-3.4992941
0.0056439287,-3.7581176
0.0071332413,-3.7345882
0.0087967426,-3.5855686
0.010634432,-3.8208627
0.012646311,-3.8171678
0.014832378,-3.4602118
0.017192634,-1.3539163
0.019727078,6.2585815
0.022435711,9.7537522
0.025318532,2.1747329
0.028375542,4.9568179
0.031606741,10.50785
0.035012128,-1.5407976
0.038591704,-3.8322627
0.042345469,0.88835679
0.046273422,4.3151785
0.050375564,1.4599673
0.054651894,0.91880138
0.059102413,-0.78282891
0.063727121,-1.8566883
0.068526017,-3.5890513
0.073499102,-1.7446239
0.078646375,8.013849
0.083967837,10.423622
0.089463488,3.1160682
0.095133327,-2.371558
0.10097736,-3.6235702
0.10699557,-3.5497723
0.11318798,-3.6325173
0.11955457,-2.554158
0.12609535,-1.1146945
0.13281032,-1.9415777
0.13969948,-3.505396
0.14676283,-0.24536493
0.15400037,2.6228292
0.16141209,2.9423236
0.16899801,3.1444909
0.17675811,3.3391349
0.1846924,3.4948831
0.19280088,2.662716
0.20108355,-0.49069986
0.20954041,-3.3222272
0.21817145,-2.5926503
0.22697669,0.18430536
0.23595611,0.23216913
0.24510972,0.18623517
0.25443752,1.8190525
0.26393951,2.7306211
0.27361569,0.6150586
0.28346605,-0.83351731
0.29349061,-0.09353801
0.30368935,-1.6434349
0.31406228,-3.0518354
0.3246094,-3.0167787
0.33533071,-2.0323825
0.34622621,-1.2986468
0.3572959,0.67462446
0.36853977,2.0286078
0.37995783,1.665264
0.39155009,2.1571421
0.40331653,2.4218891
0.41525716,2.5222501
0.42737197,2.4111663
0.43966098,1.9709907
0.45212418,1.3193703
0.46476156,0.32297171
0.47757313,-0.40644028
0.49055889,-0.86102256
0.50371884,-1.4250889
0.51705298,-1.118247
0.53056131,-0.55226171
0.54424382,0.64149446
0.55810053,0.83949211
0.57213142,0.48879006
0.5863365,0.71880008
0.60071577,0.43148294
0.61526923,0.63076023
0.62999688,0.77545545
0.64489871,0.6694902
0.65997473,0.7915516
0.67522495,0.7488675
0.69064935,0.22771241
0.70624794,-0.30132543
0.72202072,-0.265697
0.73796769,-0.15167682
0.75408884,-0.97887272
0.77038419,-0.41787295
0.78685372,-0.53926573
0.80349744,-1.1391295
0.82031535,-0.82138584
0.83730745,-0.30760335
0.85447374,-0.72719382
0.87181421,0.17082316
0.88932888,0.82566326
0.90701773,0.84516964
0.92488077,1.0528717
0.942918,1.3075929
0.96112942,1.185804
0.97951503,0.69534798
0.99807483,0.64406803
1.0168088,0.89078769
1.035717,0.64335008
1.0547993,1.1017552
1.0740559,0.97972856
1.0934866,1.1164858
1.1130916,1.3943799
1.1328707,1.2643913
1.152824,1.0480886
1.1729515,0.96507952
1.1932532,1.3055603
1.213729,0.53227592
1.2343791,0.36287352
1.2552033,0.7816668
1.2762018,0.88669497
1.2973744,0.83482078
1.3187212,1.0417305
1.3402422,1.1074241
1.3619374,1.3220978
1.3838068,1.3563396
1.4058504,1.1944634
1.4280681,1.6756849
1.4504601,1.3803961
1.4730262,1.1085971
1.4957665,0.78969974
1.518681,0.39233135
1.5417697,0.40276647
1.5650326,0.08375022
1.5884697,-0.086286042
1.612081,0.21422632
1.6358664,-0.15196761
1.6598261,0.022975318
1.6839599,0.18219236
1.7082679,0.027644286
1.7327501,0.35148797
1.7574065,0.29882146
1.7822371,0.30886042
1.8072419,0.55415389
1.8324209,0.2660744
1.857774,0.46422981
1.8833013,0.17607109
1.9090029,0.26434335
1.9348786,0.3133603
1.9609285,0.21331803
1.9871526,0.16029497
2.0135509,0.028800913
2.0401234,0.17962018
2.06687,0.0088312123
2.0937909,0.002708506
2.1208859,0.18478148
2.1481551,0.076618754
2.1755985,0.16449485
2.2032161,0.31507642
2.2310079,0.19110857
2.2589739,0.41219915
2.2871141,0.39795599
2.3154285,0.46210459
2.343917,0.31444886
2.3725797,0.37851823
2.4014167,0.30137151
2.4304278,0.17712635
2.4596131,0.24107686
2.4889726,0.30498776
2.5185062,0.29827081
2.5482141,0.18171032
2.5780962,0.3553063
2.6081524,0.0033724556
2.6383828,0.1141441
2.6687875,-0.11237878
2.6993663,-0.39384323
2.7301193,-0.12632769
2.7610465,-0.21179295
2.7921478,-0.43063115
2.8234234,-0.19460701
2.8548732,-0.099798961
2.8864971,-0.12267758
2.9182952,-0.28677229
2.9502676,-0.082279167
2.9824141,-0.0033158536
3.0147348,-0.17537255
3.0472296,0.20270642
3.0798987,-0.023127567
3.112742,-0.060717633
3.1457594,0.066406804
3.1789511,0.37393202
3.2123169,0.014799192
3.2458569,0.16547891
3.2795711,0.44950058
3.3134595,0.20804067
3.3475221,0.39796194
3.3817589,0.48593104
3.4161698,0.53469308
3.450755,0.4501304
3.4855143,0.54596851
3.5204478,0.66534465
3.5555556,0.41610196
3.5908375,0.62176985
3.6262936,0.44313264
3.6619238,0.53901385
3.6977283,0.66627624
3.733707,0.51903744
3.7698598,0.45808177
3.8061868,0.43635042
3.8426881,0.5244316
3.8793635,0.42428611
3.9162131,0.44179631
3.9532369,0.52206022
3.9904348,0.31213668
4.027807,0.51790803
4.0653534,0.46486447
4.1030739,0.3412413
4.1409686,0.42939146
4.1790376,0.24304044
