M/Z,Intensity
-7.8602611e-005,-0.54211765
2.1773576e-007,-0.48721569
9.6021472e-005,0.20298039
0.00036601382,-0.76172549
0.00081019477,0.77552941
0.0014285643,0.45396078
0.0022211225,-2.6440784
0.0031878693,-1.9068235
0.0043288047,-2.9813333
0.0056439287,-3.7813333
0.0071332413,-3.6244706
0.0087967426,-3.4362353
0.010634432,-3.3656471
0.012646311,-3.652795
0.014832378,-3.5632085
0.017192634,-0.14002479
0.019727078,3.8716582
0.022435711,9.1855658
0.025318532,6.3350314
0.028375542,3.4690747
0.031606741,7.6622054
0.035012128,2.4595216
0.038591704,-3.5742708
0.042345469,-3.1607406
0.046273422,3.5197203
0.050375564,2.2710333
0.054651894,-0.19307611
0.059102413,0.71562742
0.063727121,1.1696929
0.068526017,-2.4073503
0.073499102,-0.015502071
0.078646375,6.5805316
0.083967837,8.3925154
0.089463488,3.0596651
0.095133327,-2.7905683
0.10097736,-3.3699496
0.10699557,-3.4941651
0.11318798,-3.469097
0.11955457,-2.3849415
0.12609535,-0.30444365
0.13281032,-0.082505436
0.13969948,-0.65246018
0.14676283,0.6994176
0.15400037,1.2045005
0.16141209,2.6823963
0.16899801,1.5958501
0.17675811,0.81545014
0.1846924,2.0117847
0.19280088,1.6632851
0.20108355,0.10720633
0.20954041,-1.9270399
0.21817145,-1.545336
0.22697669,0.76604353
0.23595611,1.8698439
0.24510972,1.4915552
0.25443752,0.86254999
0.26393951,1.1906715
0.27361569,0.028860742
0.28346605,-1.9483723
0.29349061,-1.9410278
0.30368935,-1.227537
0.31406228,-2.5059391
0.3246094,-2.7017244
0.33533071,-0.8031282
0.34622621,-0.26113079
0.3572959,0.64975797
0.36853977,1.4903224
0.37995783,1.1154645
0.39155009,1.062439
0.40331653,1.0802658
0.41525716,1.8512976
0.42737197,1.9088678
0.43966098,1.9980745
0.45212418,2.0875451
0.46476156,1.7066913
0.47757313,0.9339446
0.49055889,0.075187289
0.50371884,-0.58722769
0.51705298,-1.1238886
0.53056131,-1.2132267
0.54424382,-0.58857547
0.55810053,-0.13620935
0.57213142,-0.22475578
0.5863365,-0.0071559653
0.60071577,0.28129599
0.61526923,0.34256088
0.62999688,0.71781515
0.64489871,0.84235294
0.65997473,0.74707196
0.67522495,0.53413047
0.69064935,0.085881433
0.70624794,-0.29179282
0.72202072,-0.56751972
0.73796769,-0.31776987
0.75408884,-0.4131315
0.77038419,-0.28105559
0.78685372,-0.11762058
0.80349744,0.053644137
0.82031535,-0.52020263
0.83730745,-0.0038667616
0.85447374,-0.091465902
0.87181421,-0.48496084
0.88932888,-0.40003784
0.90701773,0.13193054
0.92488077,-0.25376158
0.942918,-0.098290673
0.96112942,0.32383346
0.97951503,0.59692455
0.99807483,0.72882572
1.0168088,1.064635
1.035717,1.2200387
1.0547993,1.2577819
1.0740559,1.4602176
1.0934866,1.0665613
1.1130916,0.72779363
1.1328707,1.2674439
1.152824,1.2188453
1.1729515,0.84866476
1.1932532,1.3098433
1.213729,1.2063025
1.2343791,1.1184345
1.2552033,1.0462394
1.2762018,1.3897171
1.2973744,1.6782794
1.3187212,0.89231844
1.3402422,0.87497151
1.3619374,0.849768
1.3838068,0.59710006
1.4058504,1.050301
1.4280681,0.92309642
1.4504601,1.0547019
1.4730262,1.1627645
1.4957665,0.7923823
1.518681,0.8533592
1.5417697,0.55353836
1.5650326,0.43409622
1.5884697,0.3460132
1.612081,-0.095024441
1.6358664,0.24039506
1.6598261,0.22285995
1.6839599,0.11903689
1.7082679,0.26618078
1.7327501,0.20938965
1.7574065,0.60748705
1.7822371,0.42517885
1.8072419,0.47815133
1.8324209,0.49973781
1.857774,0.47425203
1.8833013,0.4252234
1.9090029,0.13304407
1.9348786,0.18594934
1.9609285,0.14472353
1.9871526,0.14269995
2.0135509,0.070074703
2.0401234,0.22488699
2.06687,0.23850937
2.0937909,0.25996144
2.1208859,0.49316478
2.1481551,0.28713899
2.1755985,0.37129584
2.2032161,0.30641964
2.2310079,0.35917706
2.2589739,0.3413328
2.2871141,0.41759274
2.3154285,0.50952552
2.343917,0.53085663
2.3725797,0.49727233
2.4014167,0.40092949
2.4304278,0.3437889
2.4596131,0.30232114
2.4889726,0.24515366
2.5185062,0.31346294
2.5482141,0.13862152
2.5780962,0.34023725
2.6081524,0.31438856
2.6383828,0.3042127
2.6687875,0.25480772
2.6993663,0.24460498
2.7301193,0.17948683
2.7610465,0.11435525
2.7921478,0.096269048
2.8234234,0.038953719
2.8548732,-0.088963286
2.8864971,0.0027141102
2.9182952,0.2904565
2.9502676,-0.25318711
2.9824141,0.52864604
3.0147348,0.22026968
3.0472296,0.14717398
3.0798987,0.51328054
3.112742,0.15780502
3.1457594,0.68859058
3.1789511,0.035048962
3.2123169,0.46384685
3.2458569,0.57106267
3.2795711,0.10571602
3.3134595,0.44035594
3.3475221,0.64949222
3.3817589,0.56057584
3.4161698,0.66772445
3.450755,0.54740864
3.4855143,0.88198135
3.5204478,0.55771709
3.5555556,0.70402762
3.5908375,0.68561883
3.6262936,0.47111817
3.6619238,0.7271923
3.6977283,0.6695275
3.733707,0.64322181
3.7698598,0.67964777
3.8061868,0.62978579
3.8426881,0.76030251
3.8793635,0.5535509
3.9162131,0.63698192
3.9532369,0.69687009
3.9904348,0.52145071
4.027807,0.65974337
4.0653534,0.45292455
4.1030739,0.51275895
4.1409686,0.39218776
4.1790376,0.42062273
4.2172807,0.4568874
4.255698,0.21862883
4.2942895,0.43525877
4.3330551,0.25971841
4.371995,0.044948925
4.411109,0.23800913
4.4503973,-0.023846059
4.4898597,0.10644217
4.5294963,0.040638525
4.5693071,0.014037126
4.6092921,0.065853659
4.6494513,-0.10979423
4.6897847,-0.034475168
4.7302923,0.040830452
4.770974,-0.11132835
4.8118299,0.01885235
4.8528601,0.0078431373
4.8940644,-0.10372599
4.9354429,0.035677818
4.9769956,-0.11512192
5.0187225,-0.0071055847
5.0606235,-0.0010574994
5.1026988,-0.096977661
5.1449482,0.10513393
5.1873719,-0.0064874287
5.2299697,-0.023998604
5.2727417,0.060443542
5.3156879,0.050760579
5.3588083,-0.092263179
5.4021029,0.1019605
5.4455717,-0.10382328
5.4892146,0.059012929
5.5330318,0.15125344
5.5770231,-0.0074939055
5.6211886,0.23375129
5.6655283,0.13773412
5.7100422,0.26916046
5.7547303,0.14175582
5.7995926,0.1790496
5.8446291,0.32613983
5.8898397,0.14381084
5.9352245,0.22814105
5.9807836,0.21050302
6.0265168,0.22423007
6.0724242,0.23794966
6.1185058,0.16538728
6.1647616,0.32026841
6.2111916,0.20063228
6.2577957,0.28491026
6.3045741,0.24369058
6.3515266,0.11618892
6.3986533,0.3024053
6.4459543,0.4023397
6.4934294,0.14932546
6.5410787,0.13159788
6.5889021,0.42758833
6.6368998,0.056904643
6.6850717,-0.078492384
6.7334177,0.69590705
6.781938,0.18402451
6.8306324,0.032918819
6.879501,0.39160959
6.9285438,0.33460662
6.9777608,0.050145214
7.027152,0.17351948
7.0767174,0.46159217
7.1264569,0.17710837
7.1763707,0.13575437
7.2264586,0.44733408
7.2767207,0.23341613
7.327157,0.12929464
7.3777675,0.38595001
7.4285522,0.24259791
7.4795111,0.1306109
7.5306442,0.12842034
7.5819514,0.28308507
7.6334329,-0.0014733457
