M/Z,Intensity
-7.8602611e-005,-0.56439216
2.1773576e-007,-0.31341176
9.6021472e-005,-0.49380392
0.00036601382,-0.41537255
0.00081019477,0.416
0.0014285643,0.1414902
0.0022211225,-2.2271373
0.0031878693,-2.3761569
0.0043288047,-3.3643922
0.0056439287,-3.7487059
0.0071332413,-3.5526275
0.0087967426,-3.7722353
0.010634432,-3.5683137
0.012646311,-3.7692589
0.014832378,-3.55426
0.017192634,-0.5076309
0.019727078,4.3823932
0.022435711,9.4922828
0.025318532,5.9828222
0.028375542,3.7598939
0.031606741,7.9450664
0.035012128,2.2481437
0.038591704,-3.5112665
0.042345469,-2.7998307
0.046273422,4.4765687
0.050375564,2.3414611
0.054651894,-0.33456529
0.059102413,0.55829348
0.063727121,0.18082171
0.068526017,-3.0199218
0.073499102,-0.2517801
0.078646375,7.1832859
0.083967837,9.097041
0.089463488,3.6934068
0.095133327,-2.1334992
0.10097736,-3.59152
0.10699557,-3.5355576
0.11318798,-3.565612
0.11955457,-2.3954087
0.12609535,-0.98181049
0.13281032,-1.0424644
0.13969948,-1.2832527
0.14676283,0.40562845
0.15400037,1.7653555
0.16141209,3.4547521
0.16899801,2.5169553
0.17675811,1.7833379
0.1846924,2.5166448
0.19280088,1.9953074
0.20108355,-0.43165462
0.20954041,-2.5838491
0.21817145,-1.9200997
0.22697669,0.13998593
0.23595611,1.6199371
0.24510972,1.6334792
0.25443752,1.1296321
0.26393951,2.0142779
0.27361569,0.75800492
0.28346605,-1.4078143
0.29349061,-1.6518071
0.30368935,-1.5818168
0.31406228,-2.7507844
0.3246094,-3.15871
0.33533071,-1.5742211
0.34622621,-0.31888624
0.3572959,0.69356908
0.36853977,2.0121644
0.37995783,1.8486646
0.39155009,1.5520891
0.40331653,1.6243987
0.41525716,2.151868
0.42737197,1.9737127
0.43966098,1.7409131
0.45212418,1.9319006
0.46476156,1.503538
0.47757313,0.45582519
0.49055889,0.020134818
0.50371884,-0.31333707
0.51705298,-1.1171395
0.53056131,-0.65009596
0.54424382,-0.23769671
0.55810053,-0.01327504
0.57213142,-0.14153685
0.5863365,-0.35581547
0.60071577,0.034085179
0.61526923,-0.085560392
0.62999688,0.43034586
0.64489871,0.85239216
0.65997473,0.72552507
0.67522495,0.83393618
0.69064935,0.59723335
0.70624794,0.32129893
0.72202072,-0.43308278
0.73796769,-0.24630392
0.75408884,-0.45169784
0.77038419,-0.6022057
0.78685372,-0.53312163
0.80349744,0.14771123
0.82031535,-0.40284436
0.83730745,-0.59263154
0.85447374,0.53521242
0.87181421,-0.34480266
0.88932888,-0.22091208
0.90701773,0.37355083
0.92488077,0.41897822
0.942918,-0.24933579
0.96112942,0.25096174
0.97951503,0.46889042
0.99807483,0.18484241
1.0168088,0.2380334
1.035717,1.3186595
1.0547993,1.0424069
1.0740559,0.97005991
1.0934866,1.807501
1.1130916,1.437083
1.1328707,1.1058648
1.152824,1.3707091
1.1729515,1.0002435
1.1932532,0.95917361
1.213729,1.0435781
1.2343791,0.97110385
1.2552033,1.1260647
1.2762018,0.9515979
1.2973744,1.2869191
1.3187212,1.2457538
1.3402422,0.85947457
1.3619374,1.2810226
1.3838068,0.96529973
1.4058504,0.82211002
1.4280681,1.0161593
1.4504601,0.98274169
1.4730262,0.94930817
1.4957665,0.95507443
1.518681,0.81180518
1.5417697,0.59793178
1.5650326,0.41541502
1.5884697,0.37405882
1.612081,0.16798083
1.6358664,0.1658085
1.6598261,0.05381634
1.6839599,0.12220043
1.7082679,0.15135292
1.7327501,0.21186206
1.7574065,0.36647293
1.7822371,0.43479338
1.8072419,0.38545087
1.8324209,0.55570029
1.857774,0.54554165
1.8833013,0.54321023
1.9090029,0.37615703
1.9348786,0.27183301
1.9609285,0.24592445
1.9871526,0.13372548
2.0135509,0.060726288
2.0401234,0.10535824
2.06687,0.12644488
2.0937909,0.22594698
2.1208859,0.36464885
2.1481551,0.41706031
2.1755985,0.37533822
2.2032161,0.41987472
2.2310079,0.31537571
2.2589739,0.39909608
2.2871141,0.31025152
2.3154285,0.35472439
2.343917,0.44624018
2.3725797,0.30244593
2.4014167,0.44098872
2.4304278,0.22657443
2.4596131,0.48273246
2.4889726,0.31534517
2.5185062,0.35186354
2.5482141,0.52954248
2.5780962,0.23661726
2.6081524,0.38289183
2.6383828,0.33307206
2.6687875,0.095001082
2.6993663,0.18632596
2.7301193,-0.012561146
2.7610465,0.094418191
2.7921478,0.13079338
2.8234234,0.14362326
2.8548732,0.1721235
2.8864971,0.035901943
2.9182952,0.20554683
2.9502676,0.069293464
2.9824141,-0.1689366
3.0147348,0.22026841
3.0472296,-0.025836607
3.0798987,-0.11509479
3.112742,0.51719975
3.1457594,0.34947838
3.1789511,0.83272149
3.2123169,0.10810556
3.2458569,0.99131685
3.2795711,0.48627694
3.3134595,0.27141721
3.3475221,0.6761494
3.3817589,0.90831667
3.4161698,0.28556607
3.450755,0.8078976
3.4855143,0.85962499
3.5204478,0.50349333
3.5555556,0.54734576
3.5908375,1.0382411
3.6262936,0.72912054
3.6619238,0.39645466
3.6977283,0.81671404
3.733707,0.75852614
3.7698598,0.39443998
3.8061868,0.70484772
3.8426881,0.78778857
3.8793635,0.52561547
3.9162131,0.58499509
3.9532369,0.69141762
3.9904348,0.66449091
4.027807,0.39441104
4.0653534,0.57921722
4.1030739,0.63067416
4.1409686,0.23505636
4.1790376,0.47471678
4.2172807,0.4869103
4.255698,0.099087922
4.2942895,0.33085747
4.3330551,0.11555229
4.371995,0.26101552
4.411109,0.1476393
4.4503973,-0.036341054
4.4898597,0.17966268
4.5294963,-0.074937731
4.5693071,-0.031514834
4.6092921,0.1687549
4.6494513,-0.0780501
4.6897847,-0.042518067
4.7302923,-0.077590177
4.770974,-0.15189388
4.8118299,-0.014448791
4.8528601,-0.073098039
4.8940644,-0.027388438
